WMT,AMZN,AAPL,CVS,UNH,XOM,BRK.B,GOOGL,MCK,ABC
140.07,120.6,152.34,92.22,540.22,105.88,289.24,104.48,382.43,152.77
141.14,115.66,149.35,92.73,543.17,107.14,288.52,94.93,385.41,154.69
140.73,110.96,144.8,92.7,541.8,107.55,289.88,92.22,388.07,155.9
142.51,103.41,155.74,94.19,551.24,110.7,299.63,96.29,394.72,159.31
142.33,102.44,153.34,94.7,555.15,110.81,295.09,94.51,389.37,157.22
141.69,96.79,150.65,94.62,547.31,111.91,294.13,90.47,382.04,156.32
140.75,92.12,145.03,96.8,543.43,109.61,289.46,86.97,389.79,154.81
140.72,89.3,138.88,97.8,543.61,111.1,283.85,83.43,397.58,157.84
140.97,90.98,138.38,99.56,538.17,112.31,287.47,86.58,396.65,161.64
142.45,90.53,138.92,101.18,545.02,113.64,290.19,88.49,395.8,162.01
142.79,89.98,139.5,101.65,553.05,114,292.61,88.9,390.77,159.66
139.47,86.14,134.87,99.56,540.66,108.9,288.65,87.32,386.22,158.19
142.36,96.63,146.87,99.91,544.17,110.5,303.2,93.94,370.32,155
142.58,100.79,149.7,97.55,522.08,113.95,309.72,96.41,356.21,153.01
138.39,98.49,148.28,97.17,513.75,113.37,308.91,95.7,361.08,154.73
147.44,98.94,150.04,97.73,503.01,114.13,309.98,98.44,353.68,152.78
148.5,97.12,148.79,96.1,511.52,112.91,308.76,98.85,363.2,155.8
148,94.85,150.72,94.93,515.31,113.06,307.44,98.36,366.55,158.92
150.23,94.14,151.29,97.35,530,112.08,310.76,97.43,369.73,162
151.15,92.46,148.01,97.89,517.19,110.97,311.2,95.6,368.79,160.3
151.69,93.2,150.18,99.51,523.09,114.18,315.76,97.05,377.73,164.71
152.42,94.13,151.07,100.06,529.71,113.61,316.18,98.46,380.75,165.53
153.07,93.41,148.11,101.26,537.62,113.21,317.43,97.46,383.34,167.7
153.51,93.95,144.22,100.41,532.27,109.81,313.27,96.05,380.34,167.17
152.97,92.42,141.17,100.88,528,110.54,315.13,95.19,381.78,167.9
152.42,96.54,148.03,101.88,547.76,111.34,318.6,100.99,381.68,170.69
153.37,95.5,148.31,101.65,536.91,110.8,315.84,100.99,379.72,171.63
153.22,94.13,147.81,102.58,536.16,109.86,316.15,100.44,386.85,173.99
